Date,X3.Mo,X10.Yr
9/1/1981,17.01,15.41
9/2/1981,16.65,15.4
9/3/1981,16.96,15.48
9/4/1981,16.64,15.51
9/7/1981,.,.
9/8/1981,16.54,15.59
9/9/1981,16.39,15.53
9/10/1981,15.9,15.3
9/11/1981,15.76,15.05
9/14/1981,15.27,15.2
9/15/1981,15.16,15.08
9/16/1981,15.1,15.11
9/17/1981,15.18,14.95
9/18/1981,15.07,14.91
9/21/1981,14.98,14.78
9/22/1981,15.51,15.03
9/23/1981,14.94,15.23
9/24/1981,14.94,15.31
9/25/1981,15.02,15.68
9/28/1981,14.82,15.65
9/29/1981,14.86,15.76
9/30/1981,15.05,15.84
10/1/1981,15.33,15.75
10/2/1981,15.4,15.41
10/5/1981,14.98,15.19
10/6/1981,14.61,15.14
10/7/1981,14.54,15.04
10/8/1981,14.38,15
10/9/1981,13.96,14.73
10/12/1981,.,.
10/13/1981,14.17,14.83
10/14/1981,13.97,14.87
10/15/1981,14,14.88
10/16/1981,14.18,14.94
10/19/1981,14.2,14.95
10/20/1981,14.13,15.09
10/21/1981,14.17,15.34
10/22/1981,13.98,15.38
10/23/1981,13.87,15.3
10/26/1981,13.96,15.6
10/27/1981,14.02,15.54
10/28/1981,13.93,15.44
10/29/1981,13.74,15.06
10/30/1981,13.33,14.63
11/2/1981,13.34,14.57
11/3/1981,.,.
11/4/1981,12.87,14.18
11/5/1981,12.73,14.19
11/6/1981,12.21,13.94
11/9/1981,11.72,13.39
11/10/1981,11.74,13.4
11/11/1981,.,.
11/12/1981,11.07,13.19
11/13/1981,11.32,13.18
11/16/1981,11.11,13.07
11/17/1981,11.08,13.18
11/18/1981,10.46,13
11/19/1981,10.63,13.04
11/20/1981,10.51,13.14
11/23/1981,10.91,13.44
11/24/1981,10.6,13.13
11/25/1981,10.56,12.98
11/26/1981,.,.
11/27/1981,10.58,12.92
11/30/1981,10.78,13.13
12/1/1981,10.81,13.37
12/2/1981,10.82,13.49
12/3/1981,10.95,13.45
12/4/1981,10.29,13.15
12/7/1981,10.66,13.5
12/8/1981,10.68,13.5
12/9/1981,.,13.64
12/10/1981,11.13,13.8
12/11/1981,11.33,13.84
12/14/1981,11.4,13.62
12/15/1981,11.35,13.55
12/16/1981,11.38,13.53
12/17/1981,11.62,13.71
12/18/1981,11.33,13.51
12/21/1981,11.56,13.83
12/22/1981,11.51,14.02
12/23/1981,11.94,14.14
12/24/1981,11.57,14.01
12/25/1981,.,.
12/28/1981,11.75,14.01
12/29/1981,12.22,14.12
12/30/1981,11.86,14.17
12/31/1981,11.54,13.98
1/1/1982,.,.
1/4/1982,11.87,14.19
1/5/1982,12.2,14.44
1/6/1982,12.16,14.59
1/7/1982,12.17,14.63
1/8/1982,11.98,14.48
1/11/1982,12.49,14.81
1/12/1982,12.52,14.62
1/13/1982,12.7,14.83
1/14/1982,13.17,14.7
1/15/1982,12.74,14.82
1/18/1982,13.41,14.75
1/19/1982,13.13,14.8
1/20/1982,13.51,14.81
1/21/1982,13.65,14.62
1/22/1982,13.63,14.69
1/25/1982,14.06,14.62
1/26/1982,13.65,14.54
1/27/1982,13.4,14.51
1/28/1982,12.84,14.29
1/29/1982,13.08,14.14
2/1/1982,14.77,14.58
2/2/1982,14.49,14.47
2/3/1982,14.64,14.69
2/4/1982,14.38,14.76
2/5/1982,14.63,14.65
2/8/1982,15.04,14.88
2/9/1982,14.91,14.95
2/10/1982,14.88,14.81
2/11/1982,15.06,14.71
2/12/1982,.,.
2/15/1982,.,.
2/16/1982,15.49,14.53
2/17/1982,15.31,14.5
2/18/1982,14.58,14.28
2/19/1982,14.17,14.24
2/22/1982,13.13,13.87
2/23/1982,12.93,13.93
2/24/1982,12.83,13.87
2/25/1982,12.79,13.91
2/26/1982,13,14.03
3/1/1982,12.81,13.85
3/2/1982,13.22,13.74
3/3/1982,12.85,13.69
3/4/1982,12.85,13.61
3/5/1982,12.86,13.59
3/8/1982,12.68,13.67
3/9/1982,12.93,13.69
3/10/1982,13,13.73
3/11/1982,13.24,13.95
3/12/1982,13.4,13.97
3/15/1982,13.47,13.96
3/16/1982,13.33,13.91
3/17/1982,13.36,13.88
3/18/1982,13.45,13.87
3/19/1982,13.69,13.89
3/22/1982,13.26,13.74
3/23/1982,13.11,13.72
3/24/1982,13.39,13.91
3/25/1982,13.35,13.9
3/26/1982,13.69,14.01
3/29/1982,14.16,14.16
3/30/1982,14.15,14.19
3/31/1982,13.99,14.18
4/1/1982,13.87,14.1
4/2/1982,13.95,14.1
4/5/1982,13.76,14.16
4/6/1982,13.77,14.18
4/7/1982,13.8,14.18
4/8/1982,13.74,13.98
4/9/1982,.,.
4/12/1982,13.43,13.83
4/13/1982,13.33,13.83
4/14/1982,13.44,13.95
4/15/1982,13.47,13.91
4/16/1982,13.21,13.71
4/19/1982,13.04,13.66
4/20/1982,13.07,13.72
4/21/1982,12.73,13.69
4/22/1982,12.99,13.71
4/23/1982,12.99,13.69
4/26/1982,13.17,13.7
4/27/1982,13.04,13.7
4/28/1982,13.09,13.77
4/29/1982,13.2,13.87
4/30/1982,13.15,13.87
5/3/1982,13.46,13.95
5/4/1982,13.6,13.87
5/5/1982,13.39,13.8
5/6/1982,13.08,13.54
5/7/1982,13.02,13.48
5/10/1982,13.21,13.49
5/11/1982,12.97,13.46
5/12/1982,13.05,13.59
5/13/1982,13.09,13.62
5/14/1982,12.92,13.48
5/17/1982,13.02,13.57
5/18/1982,12.88,13.6
